DISTRITO,Pobla,Esperanzadevida,18Educseccom,Añoeduc25mas,Ingrefamperca,IDH
LIMA,250806,80.237,77.961,12,1633.8,0.765
ANCON,54956,77.66,72.118,9.3,1393,0.669
ATE,684922,79.624,76.309,9.2,1425.4,0.687
BARRANCO,27482,80.15,78.347,12.6,1956.6,0.821
BREÑA,75598,79.979,78.949,12.9,1868.7,0.812
CARABAYLLO,356854,78.85,74.115,9.2,1246.5,0.65
CHACLACAYO,43756,80.729,77.769,11.2,1539.8,0.741
CHORRILLOS,333655,79.826,76.765,11.5,1662.8,0.758
CIENEGUILLA,48261,77.288,69.643,9,1265,0.637
COMAS,530000,80.09,77.958,11,1458.3,0.722
EL AGUSTINO,203380,81.405,73.572,9.6,1428.9,0.697
INDEPENDENCIA,217177,80.043,76.324,8.8,1443.3,0.685
JESUS MARIA,74873,80.419,81.092,13,1989.8,0.837
La Molina,160839,80.648,78.162,14.7,1939.5,0.845
La Victoria,156888,79.908,74.792,10.5,1482.5,0.714
Lince,46299,80.468,82.556,12.7,2037.3,0.842
Los Olivos,363988,80.519,79.2,11.3,1628.6,0.758
Lurigancho,255144,78.609,74.49,10,1376,0.683
Lurin,95909,78.416,70.974,9.8,1476.8,0.691
Magdalena Del Mar,57879,80.462,79.65,13,1986.3,0.834
PUEBLO LIBRE,78731,80.471,82.379,13.2,1936.2,0.834
Miraflores,87899,80.314,77.784,14,1925.8,0.833
Pachacamac,140978,77.519,70.892,9.3,1279.2,0.646
Pucusana,19084,77.007,66.792,9.3,1062.3,0.599
Puente Piedra,383699,79.152,73.192,9.6,1289.5,0.663
Punta Hermosa,12551,77.131,67.896,10.1,1549.3,0.696
Punta Negra,8293,76.102,67.492,10.6,1568.9,0.7
Rimac,156760,80.217,75.116,10.6,1559,0.73
San Bartolo,8667,79.665,76.375,10.6,1528.4,0.724
San Borja,106585,80.641,78.763,13.6,1867.9,0.824
San Isidro,53212,80.354,78.47,13.9,1641.7,0.789
San Juan De Lurigancho,1150285,79.629,73.147,10.1,1464.7,0.701
San Juan De Miraflores,384729,80.509,76.912,10.4,1551.1,0.729
San Luis,53673,81.516,80.699,11.8,1769.7,0.793
San Martin De Porres,739416,80.318,79.004,11.1,1554.7,0.742
San Miguel,146886,80.326,76.664,12.8,1966.6,0.822
Santa Anita,229835,80.7,76.48,10.5,1571.8,0.735
Santa Maria Del Mar,1631,79.059,64.032,10.5,1849.2,0.747
Santa Rosa,26603,77.16,67.619,9.9,1349.6,0.661
Santiago De Surco,359777,80.485,78.743,13.2,1766.1,0.802
Surquillo,88766,80.217,79.577,12.3,1940.5,0.817
Villa El Salvador,459161,80.146,74.385,10,1432.5,0.699
Villa Maria Del Triunfo,452660,79.88,73.896,9.8,1409.8,0.69
